allocator,window,n_days,sharpe
CORR,189,399,0.921
D0,189,399,0.9776
D0df,189,399,1.0239
D0s,189,399,0.9738
D1,189,399,1.0125
D2,189,399,0.942
D2s,189,399,0.9361
CORR,252,399,0.8372
D0,252,399,0.9334
D0df,252,399,1.0185
D0s,252,399,0.898
D1,252,399,1.0097
D2,252,399,0.8894
D2s,252,399,0.9428
CORR,378,399,0.7804
D0,378,399,0.882
D0df,378,399,1.0074
D0s,378,399,0.8904
D1,378,399,1.0034
D2,378,399,0.9097
D2s,378,399,0.9696
CORR,504,399,0.8218
D0,504,399,0.9659
D0df,504,399,1.0191
D0s,504,399,0.9604
D1,504,399,1.039
D2,504,399,0.9465
D2s,504,399,1.0604
