contrast,method,window,delta_sharpe,ci_lower,ci_upper,p_value
D0s-D0,dynotears,189,0.024555168580351006,0.005557041527760394,0.04384564343654852,0.008
D1-D0,dynotears,189,0.021123743414415752,-0.003341820148399031,0.04530260021418501,0.082
D2-D0,dynotears,189,0.0051446683292843964,-0.015672064615765022,0.02705078634702476,0.647
D2s-D0,dynotears,189,0.02118165473024103,-0.011059921536154085,0.05459545266798177,0.21
D3-D0,dynotears,189,0.013886344758321012,-0.04465498303926003,0.0676215088150954,0.643
D4-D0,dynotears,189,0.01652637100307497,-0.008334514052769214,0.04172411299969667,0.184
D0-CORR,dynotears,189,-0.002673588513972036,-0.034780251899251345,0.02936410866739633,0.823
D1-CORR,dynotears,189,0.018450154900443716,-0.02524079358074108,0.06426785266103673,0.427
D2s-CORR,dynotears,189,0.018508066216268992,-0.025769336944461808,0.06134587418621933,0.408
D0s-D0,dynotears,252,-0.004568333922135848,-0.022815315461108272,0.013249378958492701,0.598
D1-D0,dynotears,252,0.008602767573432313,-0.014214283232205837,0.032109032080225565,0.467
D2-D0,dynotears,252,-0.004113964129292047,-0.02446054523874429,0.016759821906126668,0.677
D2s-D0,dynotears,252,0.0033076654158821772,-0.023739806538041607,0.0333058705051028,0.8
D3-D0,dynotears,252,-0.005327794549978282,-0.05736058885231127,0.04760335042998882,0.817
D4-D0,dynotears,252,-0.009721669397040389,-0.033295192585128794,0.012547853043033382,0.377
D0-V0,dynotears,252,0.03185750863360931,0.014817517059357318,0.049712163485263125,0.0
D0-CORR,dynotears,252,0.0222752552942988,-0.006116425276383423,0.052668664427596434,0.139
D1-CORR,dynotears,252,0.030878022867731114,-0.012036631538009645,0.0740084272115599,0.144
D2s-CORR,dynotears,252,0.02558292071018098,-0.01526624207079528,0.07169398458981782,0.239
best(D1)-V1,dynotears,252,0.030292499275384632,0.0015433342951990988,0.05962327950467358,0.04
D0s-D0,dynotears,378,0.006626615696350924,-0.009556386281195008,0.023565727241634724,0.435
D1-D0,dynotears,378,0.012378089294777406,-0.011326085583091387,0.034696389198797854,0.325
