end_date,n_assets,n_edges,density,is_dag,dag_depth,n_roots,n_leaves,rebalance,method,window
2007-01-03,99,586,0.060399917542774684,True,36,10,12,2007-01-03,dynotears,189
2007-02-02,99,593,0.061121418264275404,True,51,7,11,2007-02-02,dynotears,189
2007-03-06,99,640,0.06596578025149454,True,46,9,11,2007-03-06,dynotears,189
2007-04-04,99,589,0.06070913213770356,True,46,9,13,2007-04-04,dynotears,189
2007-05-04,99,602,0.06204906204906205,True,52,8,9,2007-05-04,dynotears,189
2007-06-05,99,615,0.06338899196042053,True,45,8,12,2007-06-05,dynotears,189
2007-07-05,99,659,0.06792413935271079,True,49,8,13,2007-07-05,dynotears,189
2007-08-03,99,616,0.06349206349206349,True,41,8,11,2007-08-03,dynotears,189
2007-09-04,99,649,0.06689342403628118,True,58,7,13,2007-09-04,dynotears,189
2007-10-03,99,617,0.06359513502370645,True,47,9,13,2007-10-03,dynotears,189
2007-11-01,99,606,0.06246134817563389,True,44,8,14,2007-11-01,dynotears,189
2007-12-03,99,655,0.06751185322613894,True,48,7,12,2007-12-03,dynotears,189
2008-01-03,99,583,0.060090702947845805,True,50,7,12,2008-01-03,dynotears,189
2008-02-04,99,560,0.05772005772005772,True,47,7,10,2008-02-04,dynotears,189
2008-03-05,99,575,0.05926613069470212,True,44,7,12,2008-03-05,dynotears,189
2008-04-04,99,551,0.056792413935271076,True,39,7,6,2008-04-04,dynotears,189
2008-05-05,99,594,0.061224489795918366,True,50,6,8,2008-05-05,dynotears,189
2008-06-04,99,580,0.059781488352916926,True,43,5,12,2008-06-04,dynotears,189
2008-07-03,99,570,0.05875077303648732,True,48,5,9,2008-07-03,dynotears,189
2008-08-04,99,525,0.05411255411255411,True,49,6,10,2008-08-04,dynotears,189
2008-09-03,99,655,0.06751185322613894,True,51,5,7,2008-09-03,dynotears,189
2008-10-02,99,616,0.06349206349206349,True,47,6,9,2008-10-02,dynotears,189
2008-10-31,99,558,0.0575139146567718,True,49,6,11,2008-10-31,dynotears,189
2008-12-02,99,533,0.054937126365697794,True,45,6,7,2008-12-02,dynotears,189
2009-01-02,99,530,0.054627911770768915,True,53,5,9,2009-01-02,dynotears,189
