window,variant,method,regime,sharpe,ann_return,ann_vol,max_drawdown,n_days
252,V0,—,all,0.3709,0.0488,0.1655,-0.5165,4515
252,V0,—,nber_recession,-0.6382,-0.2651,0.373,-0.5226,420
252,V0,—,nber_expansion,0.7307,0.0878,0.126,-0.1979,4095
252,V0,—,low_vol,5.6296,0.4063,0.0609,-0.0257,905
252,V0,—,high_vol,-1.3512,-0.367,0.3038,-0.808,903
252,V0prime,dynotears,all,0.4028,0.0544,0.1657,-0.5052,4515
252,V0prime,dynotears,nber_recession,-0.5749,-0.2482,0.3739,-0.5061,420
252,V0prime,dynotears,nber_expansion,0.7585,0.0916,0.1261,-0.1964,4095
252,V0prime,dynotears,low_vol,5.744,0.4163,0.061,-0.0264,905
252,V0prime,dynotears,high_vol,-1.3165,-0.3606,0.3042,-0.8003,903
252,V1-DYNOTEARS,dynotears,all,0.3811,0.0507,0.1659,-0.5116,4515
252,V1-DYNOTEARS,dynotears,nber_recession,-0.6164,-0.2602,0.3745,-0.5184,420
252,V1-DYNOTEARS,dynotears,nber_expansion,0.7399,0.0891,0.1262,-0.2008,4095
252,V1-DYNOTEARS,dynotears,low_vol,5.6418,0.408,0.061,-0.0263,905
252,V1-DYNOTEARS,dynotears,high_vol,-1.3424,-0.3662,0.3047,-0.8057,903
252,V2-DYNOTEARS,dynotears,all,0.3811,0.0507,0.1659,-0.5116,4515
252,V2-DYNOTEARS,dynotears,nber_recession,-0.6164,-0.2602,0.3745,-0.5184,420
252,V2-DYNOTEARS,dynotears,nber_expansion,0.7399,0.0891,0.1262,-0.2008,4095
252,V2-DYNOTEARS,dynotears,low_vol,5.6418,0.408,0.061,-0.0263,905
252,V2-DYNOTEARS,dynotears,high_vol,-1.3424,-0.3662,0.3047,-0.8057,903
252,V1-VARLiNGAM,varlingam,all,0.3986,0.0535,0.165,-0.5131,4515
252,V1-VARLiNGAM,varlingam,nber_recession,-0.6039,-0.2544,0.3713,-0.5107,420
252,V1-VARLiNGAM,varlingam,nber_expansion,0.7587,0.0915,0.1259,-0.1977,4095
252,V1-VARLiNGAM,varlingam,low_vol,5.71,0.4117,0.0607,-0.0264,905
252,V1-VARLiNGAM,varlingam,high_vol,-1.3251,-0.3608,0.3028,-0.8003,903
252,V2-VARLiNGAM,varlingam,all,0.3986,0.0535,0.165,-0.5131,4515
252,V2-VARLiNGAM,varlingam,nber_recession,-0.6039,-0.2544,0.3713,-0.5107,420
