variant,method,named_regime,mean_excess_sharpe,n_rebalances
V0,—,GFC 2007-09,0.163,24
V0,—,2018Q4 selloff,0.3555,3
V0,—,COVID 2020,0.1421,3
V0,—,2022 rate-hike,0.2352,12
V0,—,Bull 2013-18,-0.1287,69
V0prime,dynotears,GFC 2007-09,0.224,24
V0prime,dynotears,2018Q4 selloff,0.4496,3
V0prime,dynotears,COVID 2020,0.234,3
V0prime,dynotears,2022 rate-hike,0.2349,12
V0prime,dynotears,Bull 2013-18,-0.1143,69
V1-DYNOTEARS,dynotears,GFC 2007-09,0.1932,24
V1-DYNOTEARS,dynotears,2018Q4 selloff,0.4243,3
V1-DYNOTEARS,dynotears,COVID 2020,0.1414,3
V1-DYNOTEARS,dynotears,2022 rate-hike,0.1996,12
V1-DYNOTEARS,dynotears,Bull 2013-18,-0.1623,69
V2-DYNOTEARS,dynotears,GFC 2007-09,0.1932,24
V2-DYNOTEARS,dynotears,2018Q4 selloff,0.4243,3
V2-DYNOTEARS,dynotears,COVID 2020,0.1414,3
V2-DYNOTEARS,dynotears,2022 rate-hike,0.1996,12
V2-DYNOTEARS,dynotears,Bull 2013-18,-0.1623,69
V1-VARLiNGAM,varlingam,GFC 2007-09,0.2089,24
V1-VARLiNGAM,varlingam,2018Q4 selloff,0.4611,3
V1-VARLiNGAM,varlingam,COVID 2020,0.2182,3
V1-VARLiNGAM,varlingam,2022 rate-hike,0.2522,12
V1-VARLiNGAM,varlingam,Bull 2013-18,-0.1164,69
V2-VARLiNGAM,varlingam,GFC 2007-09,0.2089,24
V2-VARLiNGAM,varlingam,2018Q4 selloff,0.4611,3
V2-VARLiNGAM,varlingam,COVID 2020,0.2182,3
V2-VARLiNGAM,varlingam,2022 rate-hike,0.2522,12
V2-VARLiNGAM,varlingam,Bull 2013-18,-0.1164,69
CORR-HRP,—,GFC 2007-09,0.2493,24
CORR-HRP,—,2018Q4 selloff,0.4387,3
CORR-HRP,—,COVID 2020,0.2805,3
CORR-HRP,—,2022 rate-hike,0.3305,12
CORR-HRP,—,Bull 2013-18,-0.1988,69
VARL-D0,varlingam,GFC 2007-09,0.2077,24
VARL-D0,varlingam,2018Q4 selloff,0.402,3
VARL-D0,varlingam,COVID 2020,0.1257,3
