window,variant,method,regime,turnover_1way_annual,n_rebalances
252,V0,—,all,1.4411,214
252,V0,—,nber_recession,1.6023,20
252,V0,—,nber_expansion,1.4451,194
252,V0,—,low_vol,1.5244,40
252,V0,—,high_vol,1.6806,41
252,V0prime,dynotears,all,1.3292,214
252,V0prime,dynotears,nber_recession,1.5543,20
252,V0prime,dynotears,nber_expansion,1.3239,194
252,V0prime,dynotears,low_vol,1.3977,40
252,V0prime,dynotears,high_vol,1.652,41
252,V1-DYNOTEARS,dynotears,all,1.4317,214
252,V1-DYNOTEARS,dynotears,nber_recession,1.5522,20
252,V1-DYNOTEARS,dynotears,nber_expansion,1.4395,194
252,V1-DYNOTEARS,dynotears,low_vol,1.5263,40
252,V1-DYNOTEARS,dynotears,high_vol,1.6748,41
252,V2-DYNOTEARS,dynotears,all,1.4317,214
252,V2-DYNOTEARS,dynotears,nber_recession,1.5522,20
252,V2-DYNOTEARS,dynotears,nber_expansion,1.4395,194
252,V2-DYNOTEARS,dynotears,low_vol,1.5263,40
252,V2-DYNOTEARS,dynotears,high_vol,1.6748,41
252,V1-VARLiNGAM,varlingam,all,1.5318,214
252,V1-VARLiNGAM,varlingam,nber_recession,1.6526,20
252,V1-VARLiNGAM,varlingam,nber_expansion,1.5349,194
252,V1-VARLiNGAM,varlingam,low_vol,1.6296,40
252,V1-VARLiNGAM,varlingam,high_vol,1.7527,41
252,V2-VARLiNGAM,varlingam,all,1.5318,214
252,V2-VARLiNGAM,varlingam,nber_recession,1.6526,20
252,V2-VARLiNGAM,varlingam,nber_expansion,1.5349,194
252,V2-VARLiNGAM,varlingam,low_vol,1.6296,40
252,V2-VARLiNGAM,varlingam,high_vol,1.7527,41
504,V0,—,all,1.3337,214
504,V0,—,nber_recession,1.5273,20
504,V0,—,nber_expansion,1.3288,194
504,V0,—,low_vol,1.4195,40
504,V0,—,high_vol,1.5559,41
504,V0prime,dynotears,all,1.1905,214
504,V0prime,dynotears,nber_recession,1.401,20
504,V0prime,dynotears,nber_expansion,1.1861,194
504,V0prime,dynotears,low_vol,1.2821,40
504,V0prime,dynotears,high_vol,1.495,41
504,V1-DYNOTEARS,dynotears,all,1.339,214
504,V1-DYNOTEARS,dynotears,nber_recession,1.5145,20
504,V1-DYNOTEARS,dynotears,nber_expansion,1.3359,194
504,V1-DYNOTEARS,dynotears,low_vol,1.4161,40
504,V1-DYNOTEARS,dynotears,high_vol,1.5989,41
504,V2-DYNOTEARS,dynotears,all,1.339,214
504,V2-DYNOTEARS,dynotears,nber_recession,1.5145,20
504,V2-DYNOTEARS,dynotears,nber_expansion,1.3359,194
504,V2-DYNOTEARS,dynotears,low_vol,1.4161,40
504,V2-DYNOTEARS,dynotears,high_vol,1.5989,41
504,V1-VARLiNGAM,varlingam,all,1.4191,214
504,V1-VARLiNGAM,varlingam,nber_recession,1.5831,20
504,V1-VARLiNGAM,varlingam,nber_expansion,1.4119,194
504,V1-VARLiNGAM,varlingam,low_vol,1.5236,40
504,V1-VARLiNGAM,varlingam,high_vol,1.6394,41
504,V2-VARLiNGAM,varlingam,all,1.4191,214
504,V2-VARLiNGAM,varlingam,nber_recession,1.5831,20
504,V2-VARLiNGAM,varlingam,nber_expansion,1.4119,194
504,V2-VARLiNGAM,varlingam,low_vol,1.5236,40
504,V2-VARLiNGAM,varlingam,high_vol,1.6394,41
