config,sharpe_ann,psr_vs_zero,psr_vs_baseline,dsr,n_trials,in_mcs90
V0prime_w252,0.4028,0.9548,0.5533,0.9448,41,True
V0_w252_k20,0.3996,0.9536,0.548,0.9433,41,
V1-VARLiNGAM_w252,0.3986,0.9532,0.5463,0.9428,41,True
V2-VARLiNGAM_w252,0.3986,0.9532,0.5463,0.9428,41,
V0_w252_k25,0.393,0.9508,0.537,0.94,41,
V0_w252_k10,0.3912,0.9501,0.5339,0.9392,41,
V1_w252_k14,0.389,0.9491,0.5303,0.9381,41,
V0_w252_k14,0.3865,0.9481,0.5261,0.9368,41,
V1_w252_k20,0.3838,0.9468,0.5216,0.9353,41,
V0_w504_k25,0.383,0.9464,0.5203,0.9348,41,
V1_w252_k25,0.3828,0.9463,0.5198,0.9348,41,
V2_w252_a0.8_g0.5,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.6_g0.3,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.6_g0.1,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.4_g0.5,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.4_g0.3,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.6_g0.5,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.8_g0.1,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.4_g0.1,0.3811,0.9456,0.5171,0.9339,41,
V1_w252_k17,0.3811,0.9456,0.5171,0.9339,41,
V2_w252_a0.8_g0.3,0.3811,0.9456,0.5171,0.9339,41,
V2-DYNOTEARS_w252,0.3811,0.9456,0.5171,0.9339,41,
V1-DYNOTEARS_w252,0.3811,0.9456,0.5171,0.9339,41,False
V1_w252_k10,0.376,0.9432,0.5085,0.9312,41,
V0prime_w504,0.3721,0.9412,0.502,0.9289,41,
V1-DYNOTEARS_w504,0.3715,0.941,0.5009,0.9286,41,
V2-DYNOTEARS_w504,0.3715,0.941,0.5009,0.9286,41,
V1_w504_k14,0.3715,0.941,0.5009,0.9286,41,
V1_w504_k17,0.3715,0.941,0.5009,0.9286,41,
V1_w504_k20,0.3715,0.941,0.5009,0.9286,41,
V1_w504_k25,0.3715,0.941,0.5009,0.9286,41,
V0_w504_k14,0.3714,0.9409,0.5008,0.9285,41,
V0_w252,0.3709,0.9407,0.5,0.9282,41,False
V0_w252_k17,0.3709,0.9407,0.5,0.9282,41,
V0_w504_k17,0.3704,0.9404,0.4992,0.9279,41,
V0_w504_k10,0.3704,0.9404,0.4992,0.928,41,
V0_w504,0.3704,0.9404,0.4992,0.9279,41,
V1_w504_k10,0.3696,0.94,0.4977,0.9275,41,
V0_w504_k20,0.3646,0.9375,0.4894,0.9246,41,
V2-VARLiNGAM_w504,0.3567,0.9333,0.4762,0.9198,41,
V1-VARLiNGAM_w504,0.3567,0.9333,0.4762,0.9198,41,
