config,sharpe_ann,psr_vs_zero,psr_vs_baseline,dsr,n_trials,in_mcs90
DYNO-D2s_w378,0.4194,0.961,0.5807,0.9455,122,
DYNO-D0df_w378,0.4164,0.9599,0.5757,0.9441,122,
DYNO-D1_w378,0.4148,0.9593,0.5732,0.9433,122,
DYNO-D1_w252,0.4114,0.9581,0.5675,0.9418,122,True
DYNO-D0s_w189,0.4111,0.9581,0.5671,0.9417,122,
DYNO-D0s_w378,0.4091,0.9572,0.5637,0.9406,122,
DYNO-D0df_w252,0.4078,0.9567,0.5616,0.9399,122,
DYNO-D2s_w189,0.4078,0.9568,0.5615,0.94,122,
DYNO-D1_w189,0.4077,0.9567,0.5614,0.94,122,
VARL-D1_w378,0.4073,0.9565,0.5608,0.9397,122,
DYNO-D3_w252_tau0.1,0.4069,0.9564,0.5601,0.9395,122,
DYNO-D2s_w252,0.4061,0.956,0.5587,0.9391,122,True
DYNO-D0df_w504,0.4061,0.956,0.5588,0.9391,122,
DYNO-D4_w378,0.4057,0.956,0.5582,0.939,122,
DYNO-D0df_w189,0.4051,0.9557,0.5572,0.9386,122,
DYNO-D2_w378,0.4046,0.9555,0.5562,0.9384,122,
DYNO-D2_w252_tau0.05,0.4033,0.955,0.5542,0.9378,122,
DYNO-D4_w189,0.4031,0.955,0.5538,0.9377,122,
DYNO-D0_w252,0.4028,0.9548,0.5533,0.9375,122,
DYNO-D0_w252_tau0.01,0.4028,0.9548,0.5533,0.9375,122,
V0prime_w252,0.4028,0.9548,0.5533,0.9375,122,True
DYNO-D0_w378,0.4025,0.9547,0.5527,0.9373,122,
VARL-D4_w252,0.4019,0.9545,0.5519,0.9371,122,
DYNO-D2_w252_tau0.1,0.4018,0.9544,0.5516,0.937,122,
DYNO-D3_w252_tau0.05,0.4011,0.9541,0.5504,0.9365,122,
DYNO-D3_w189,0.4005,0.9539,0.5494,0.9362,122,
DYNO-D3_w378,0.4003,0.9537,0.5491,0.9361,122,
V0_w252_k20,0.3996,0.9536,0.548,0.9359,122,
VARL-D3_w189,0.3995,0.9534,0.5478,0.9356,122,
DYNO-D2s_w504,0.3992,0.9533,0.5472,0.9355,122,
